language,sentence_id,word_id,word,FFDAvg,FFDStd,TRTAvg,TRTStd
en,1184,0.0,With,7.413838006771422,2.9194508219897632,8.249414011632954,3.091223699294744
en,1184,1.0,his,6.781838701276152,3.2378808170367344,11.959371473218162,9.234371644007052
en,1184,2.0,interest,6.980857713343173,2.1667150249829366,9.479989582429033,4.911089551635077
en,1184,3.0,in,4.405764389269902,0.5445541026843961,4.405764389269902,0.5445541026843961
en,1184,4.0,race,7.4037098127731005,6.004216874391477,8.163324362647222,5.6859504304911175
en,1184,5.0,"cars,",6.684608038892264,1.8908879789528132,11.142854887971652,6.9422365651327125
en,1184,6.0,he,5.5907630870735305,1.6767591469864185,16.383366611685044,10.152278566371088
en,1184,7.0,formed,7.997221981074746,3.0574667540966622,9.236912926469312,5.288120095866531
en,1184,8.0,a,5.975634459009751,2.1077353307087834,6.9074283068553415,3.1941407948100227
en,1184,9.0,second,8.507682958590156,0.0,8.507682958590156,0.0
en,1184,10.0,"company,",6.198454726972827,2.8076844453625203,9.510374164423997,2.610992624601587
en,1184,11.0,the,7.037069190033858,2.5603946222448744,7.037069190033858,2.5603946222448744
en,1184,12.0,Henry,6.708915704488237,2.457993954889042,11.44283357930376,5.677143202702216
en,1184,13.0,Ford,7.6872992447261055,2.6885729268338205,24.252973348380934,15.537229279764276
en,1184,14.0,Company.,6.1133778973869255,3.15929526700372,7.389530341175448,3.627771490399335
en,1279,0.0,During,6.342090932767206,3.4862939134243387,12.617888232090854,6.802362039735332
en,1279,1.0,this,6.0216717044566686,1.885304828627094,21.18081588521731,17.013897923400204
en,1279,2.0,"period,",7.496705048575871,3.4106903993684705,15.396696367266731,7.496376911521232
en,1279,3.0,he,6.736695893740777,1.8201788496887403,8.325375466620368,4.172324238437471
en,1279,4.0,personally,6.3531398716744665,1.5975157140724183,18.2473226053398,11.693575472313436
en,1279,5.0,drove,5.847344001697679,2.136832918590946,8.473922311929082,5.020550975151863
en,1279,6.0,his,4.938875691545193,2.0286510787520373,6.552020772005144,3.8063835077687473
en,1279,7.0,Quadricycle,7.42734226543585,2.244303580558646,13.916138553693896,10.323158938033409
en,1279,8.0,to,0.0,0.0,0.0,0.0
en,1279,9.0,victory,5.82033548436882,1.4552209438276775,7.636658274734497,2.339810107774098
en,1279,10.0,in,6.806146366872124,3.6461498393957807,12.356396677952368,10.28154872566701
